id,nume,prenume,sex,instanță/parchet,mişcat,an,lună,CA cod,trib cod,jud cod,nivel
0,SANTAI,ANDA,f,JUDECĂTORIA SIBIU,0,2010,05,CA1,TB3,J16,1
0,SANTAI,ANDA,f,JUDECĂTORIA SIBIU,0,2011,04,CA1,TB3,J16,1
0,SANTAI,ANDA,f,JUDECĂTORIA SIBIU,0,2012,04,CA1,TB3,J16,1
0,SANTAI,ANDA,f,JUDECĂTORIA SIBIU,0,2013,04,CA1,TB3,J16,1
0,SANTAI,ANDA,f,JUDECĂTORIA SIBIU,0,2014,04,CA1,TB3,J16,1
0,SANTAI,ANDA,f,JUDECĂTORIA SIBIU,0,2015,04,CA1,TB3,J16,1
0,SANTAI,ANDA,f,JUDECĂTORIA SIBIU,up,2016,04,CA1,TB3,J16,1
0,SANTAI,ANDA,f,CURTEA DE APEL ALBA IULIA,out,2017,04,CA1,-88,-88,3
1,BENŢEA,RALUCA ELENA,f,TRIBUNALUL GALAŢI,NA,2006,04,CA8,TB27,-88,2
10,TOADER,NECULAE,m,JUDECĂTORIA PĂTÂRLAGELE,0,2008,04,CA12,TB36,J132,1
10,TOADER,NECULAE,m,JUDECĂTORIA PĂTÂRLAGELE,0,2009,04,CA12,TB36,J132,1
10,TOADER,NECULAE,m,JUDECĂTORIA PĂTÂRLAGELE,0,2010,05,CA12,TB36,J132,1
10,TOADER,NECULAE,m,JUDECĂTORIA PĂTÂRLAGELE,0,2011,04,CA12,TB36,J132,1
10,TOADER,NECULAE,m,JUDECĂTORIA PĂTÂRLAGELE,0,2012,04,CA12,TB36,J132,1
10,TOADER,NECULAE,m,JUDECĂTORIA PĂTÂRLAGELE,0,2013,04,CA12,TB36,J132,1
10,TOADER,NECULAE,m,JUDECĂTORIA PĂTÂRLAGELE,0,2014,04,CA12,TB36,J132,1
10,TOADER,NECULAE,m,JUDECĂTORIA PĂTÂRLAGELE,0,2015,04,CA12,TB36,J132,1
10,TOADER,NECULAE,m,JUDECĂTORIA PĂTÂRLAGELE,out,2016,04,CA12,TB36,J132,1
100,ILIE,COSTICĂ,m,JUDECĂTORIA PANCIU,0,2006,04,CA8,TB28,J105,1
100,ILIE,COSTICĂ,m,JUDECĂTORIA PANCIU,0,2007,04,CA8,TB28,J105,1
100,ILIE,COSTICĂ,m,JUDECĂTORIA PANCIU,0,2008,04,CA8,TB28,J105,1
100,ILIE,COSTICĂ,m,JUDECĂTORIA PANCIU,out,2009,04,CA8,TB28,J105,1
1000,HUŢU,JOIŢA,f,TRIBUNALUL ARAD,0,2006,04,CA14,TB41,-88,2
1000,HUŢU,JOIŢA,f,TRIBUNALUL ARAD,0,2007,04,CA14,TB41,-88,2
1000,HUŢU,JOIŢA,f,TRIBUNALUL ARAD,0,2008,04,CA14,TB41,-88,2
1000,HUŢU,JOIŢA,f,TRIBUNALUL ARAD,out,2009,04,CA14,TB41,-88,2
1001,GRECESCU,CRISTIAN MARIUS,m,JUDECĂTORIA ORŞOVA,across,2006,04,CA7,TB24,J89,1
1001,GRECESCU,CRISTIAN MARIUS,m,JUDECĂTORIA SEGARCEA,0,2007,04,CA7,TB22,J82,1
1001,GRECESCU,CRISTIAN MARIUS,m,JUDECĂTORIA SEGARCEA,0,2008,04,CA7,TB22,J82,1
1001,GRECESCU,CRISTIAN MARIUS,m,JUDECĂTORIA SEGARCEA,0,2009,04,CA7,TB22,J82,1
1001,GRECESCU,CRISTIAN MARIUS,m,JUDECĂTORIA SEGARCEA,up,2010,05,CA7,TB22,J82,1
1001,GRECESCU,CRISTIAN MARIUS,m,TRIBUNALUL DOLJ,0,2011,04,CA7,TB22,-88,2
1001,GRECESCU,CRISTIAN MARIUS,m,TRIBUNALUL DOLJ,0,2012,04,CA7,TB22,-88,2
1001,GRECESCU,CRISTIAN MARIUS,m,TRIBUNALUL DOLJ,0,2013,04,CA7,TB22,-88,2
1001,GRECESCU,CRISTIAN MARIUS,m,TRIBUNALUL DOLJ,0,2014,04,CA7,TB22,-88,2
1001,GRECESCU,CRISTIAN MARIUS,m,TRIBUNALUL DOLJ,0,2015,04,CA7,TB22,-88,2
1001,GRECESCU,CRISTIAN MARIUS,m,TRIBUNALUL DOLJ,0,2016,04,CA7,TB22,-88,2
1001,GRECESCU,CRISTIAN MARIUS,m,TRIBUNALUL DOLJ,out,2017,04,CA7,TB22,-88,2
1002,POPESCU,ELENA ROXANA,f,JUDECĂTORIA PLOIEŞTI,0,2013,04,CA12,TB38,J142,1
1002,POPESCU,ELENA ROXANA,f,JUDECĂTORIA PLOIEŞTI,up,2014,04,CA12,TB38,J142,1
1002,POPESCU,ELENA ROXANA,f,TRIBUNALUL PRAHOVA,0,2015,04,CA12,TB38,-88,2
1002,POPESCU,ELENA ROXANA,f,TRIBUNALUL PRAHOVA,0,2016,04,CA12,TB38,-88,2
1002,POPESCU,ELENA ROXANA,f,TRIBUNALUL PRAHOVA,out,2017,04,CA12,TB38,-88,2
1003,MIHAIESCU,ICONIA,f,JUDECĂTORIA ORĂŞTIE,0,2006,04,CA1,TB2,J10,1
1003,MIHAIESCU,ICONIA,f,JUDECĂTORIA ORĂŞTIE,0,2007,04,CA1,TB2,J10,1
1003,MIHAIESCU,ICONIA,f,JUDECĂTORIA ORĂŞTIE,0,2008,04,CA1,TB2,J10,1
1003,MIHAIESCU,ICONIA,f,JUDECĂTORIA ORĂŞTIE,out,2009,04,CA1,TB2,J10,1
1004,POPESCU ELIZEU,CLAUDIU,m,CURTEA DE APEL BUCUREŞTI,NA,2006,04,CA4,-88,-88,3
1005,IONESCU,FLAVIUS ADELIN,m,JUDECĂTORIA TIMIŞOARA,0,2006,04,CA14,TB43,J168,1
1005,IONESCU,FLAVIUS ADELIN,m,JUDECĂTORIA TIMIŞOARA,0,2007,04,CA14,TB43,J168,1
1005,IONESCU,FLAVIUS ADELIN,m,JUDECĂTORIA TIMIŞOARA,0,2008,04,CA14,TB43,J168,1
1005,IONESCU,FLAVIUS ADELIN,m,JUDECĂTORIA TIMIŞOARA,up,2009,04,CA14,TB43,J168,1
