        ,nume              ,nume              ,nume              ,nume             ,nume              ,nume              ,nume              ,nume              ,nume              ,nume              ,nume             ,nume
lună    ,1                 ,10                ,11                ,12               ,2                 ,3                 ,4                 ,5                 ,6                 ,7                 ,8                ,9
an      ,                  ,                  ,                  ,                 ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,
1988    ,248.0             ,141.0             ,141.0             ,221.0            ,142.0             ,174.0             ,141.0             ,172.0             ,141.0             ,140.0             ,140.0            ,142.0
1989    ,188.0             ,137.0             ,137.0             ,215.0            ,140.0             ,201.0             ,140.0             ,140.0             ,138.0             ,160.0             ,138.0            ,166.0
1990    ,212.0             ,133.0             ,156.0             ,208.0            ,135.0             ,134.0             ,159.0             ,135.0             ,165.0             ,136.0             ,165.0            ,134.0
1991    ,222.0             ,155.0             ,189.0             ,222.0            ,132.0             ,132.0             ,172.0             ,153.0             ,172.0             ,188.0             ,154.0            ,181.0
1992    ,242.0             ,123.0             ,178.0             ,182.0            ,163.0             ,192.0             ,163.0             ,165.0             ,222.0             ,120.0             ,119.0            ,150.0
1993    ,252.0             ,241.0             ,211.0             ,312.0            ,119.0             ,192.0             ,134.0             ,169.0             ,211.0             ,226.0             ,196.0            ,195.0
1994    ,417.0             ,257.0             ,223.0             ,322.0            ,222.0             ,219.0             ,250.0             ,220.0             ,264.0             ,253.0             ,221.0            ,221.0
1995    ,363.0             ,292.0             ,242.0             ,379.0            ,231.0             ,231.0             ,227.0             ,267.0             ,278.0             ,266.0             ,229.0            ,234.0
1996    ,390.0             ,288.0             ,251.0             ,361.0            ,234.0             ,233.0             ,336.0             ,232.0             ,332.0             ,284.0             ,249.0            ,248.0
1997    ,374.0             ,322.0             ,270.0             ,386.0            ,333.0             ,275.0             ,321.0             ,275.0             ,273.0             ,261.0             ,318.0            ,443.0
1998    ,482.0             ,351.0             ,314.0             ,502.0            ,307.0             ,358.0             ,360.0             ,426.0             ,428.0             ,311.0             ,310.0            ,296.0
1999    ,559.0             ,425.0             ,372.0             ,493.0            ,426.0             ,484.0             ,417.0             ,365.0             ,431.0             ,364.0             ,363.0            ,370.0
2000    ,755.0             ,443.0             ,503.0             ,570.0            ,433.0             ,432.0             ,434.0             ,437.0             ,444.0             ,430.0             ,440.0            ,511.0
2001    ,668.0             ,431.0             ,429.0             ,698.0            ,477.0             ,421.0             ,549.0             ,432.0             ,430.0             ,428.0             ,428.0            ,491.0
2002    ,705.0             ,554.0             ,422.0             ,633.0            ,441.0             ,442.0             ,441.0             ,502.0             ,435.0             ,430.0             ,430.0            ,429.0
2003    ,770.0             ,564.0             ,434.0             ,594.0            ,430.0             ,431.0             ,428.0             ,408.0             ,433.0             ,429.0             ,435.0            ,440.0
2004    ,724.0             ,562.0             ,430.0             ,650.0            ,449.0             ,449.0             ,450.0             ,444.0             ,452.0             ,433.0             ,437.0            ,430.0
2005    ,638.0             ,481.0             ,347.0             ,4112.0           ,347.0             ,348.0             ,347.0             ,347.0             ,348.0             ,344.0             ,351.0            ,356.0
2006    ,3901.0            ,4028.0            ,4017.0            ,4024.0           ,3895.0            ,3889.0            ,3885.0            ,                  ,3940.0            ,3932.0            ,3957.0           ,4020.0
2007    ,4015.0            ,4096.0            ,4091.0            ,4091.0           ,4010.0            ,4006.0            ,4005.0            ,4009.0            ,4004.0            ,3996.0            ,4017.0           ,4070.0
2008    ,4113.0            ,4163.0            ,4156.0            ,4154.0           ,4103.0            ,4085.0            ,4074.0            ,4076.0            ,4062.0            ,4104.0            ,                 ,4165.0
2009    ,4113.0            ,                  ,                  ,                 ,4109.0            ,4077.0            ,4053.0            ,                  ,                  ,                  ,                 ,
2010    ,                  ,4099.0            ,4085.0            ,4089.0           ,                  ,                  ,                  ,3855.0            ,3971.0            ,4028.0            ,4112.0           ,4101.0
2011    ,4083.0            ,4247.0            ,4244.0            ,4235.0           ,4082.0            ,4119.0            ,4166.0            ,4160.0            ,4055.0            ,4255.0            ,4255.0           ,4254.0
2012    ,4222.0            ,4303.0            ,4296.0            ,4289.0           ,4213.0            ,4251.0            ,4248.0            ,4241.0            ,4235.0            ,4097.0            ,4309.0           ,4305.0
2013    ,4332.0            ,4442.0            ,4424.0            ,4427.0           ,4327.0            ,4346.0            ,4342.0            ,4331.0            ,4361.0            ,4457.0            ,4453.0           ,4448.0
2014    ,4488.0            ,4548.0            ,4534.0            ,4530.0           ,4491.0            ,4488.0            ,4479.0            ,4490.0            ,4486.0            ,4476.0            ,4563.0           ,4563.0
2015    ,4548.0            ,4601.0            ,4587.0            ,4578.0           ,4550.0            ,4545.0            ,4539.0            ,4534.0            ,4534.0            ,4627.0            ,4410.0           ,4617.0
2016    ,4591.0            ,4607.0            ,4597.0            ,4604.0           ,4594.0            ,4584.0            ,4572.0            ,4568.0            ,4559.0            ,4551.0            ,4623.0           ,4618.0
2017    ,4585.0            ,4589.0            ,4565.0            ,4549.0           ,4612.0            ,4598.0            ,4592.0            ,4586.0            ,4569.0            ,4560.0            ,4304.0           ,4598.0
2018    ,4684.0            ,                  ,                  ,                 ,4671.0            ,4689.0            ,4681.0            ,4658.0            ,4639.0            ,4616.0            ,                 ,
2019    ,                  ,4320.0            ,4565.0            ,4540.0           ,                  ,4390.0            ,4373.0            ,4606.0            ,4210.0            ,4590.0            ,4359.0           ,4587.0
2020    ,4741.0            ,                  ,                  ,                 ,4724.0            ,4687.0            ,4678.0            ,                  ,                  ,                  ,                 ,
sum     ,64625.0           ,57943.0           ,57410.0           ,63170.0          ,61542.0           ,66102.0           ,66156.0           ,57403.0           ,61222.0           ,61492.0           ,52485.0          ,57783.0
variance,11222.977044345374,10251.417576666301,10164.766210598698,11139.42411399251,10718.168364074394,11327.882203479567,11335.871969909585,10163.459541495351,10656.510785097682,10708.609614276156,9456.717378996102,10228.945090397425
