        ,nume             ,nume             ,nume             ,nume             ,nume             ,nume             ,nume             ,nume             ,nume             ,nume             ,nume              ,nume
lună    ,1                ,10               ,11               ,12               ,2                ,3                ,4                ,5                ,6                ,7                ,8                 ,9
an      ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                 ,                  ,
1988    ,71.0             ,72.0             ,72.0             ,72.0             ,71.0             ,70.0             ,71.0             ,71.0             ,71.0             ,71.0             ,70.0              ,72.0
1989    ,70.0             ,70.0             ,71.0             ,71.0             ,70.0             ,70.0             ,70.0             ,70.0             ,71.0             ,71.0             ,71.0              ,70.0
1990    ,70.0             ,67.0             ,65.0             ,65.0             ,70.0             ,70.0             ,68.0             ,69.0             ,67.0             ,67.0             ,69.0              ,71.0
1991    ,65.0             ,70.0             ,71.0             ,70.0             ,65.0             ,65.0             ,64.0             ,63.0             ,61.0             ,61.0             ,65.0              ,69.0
1992    ,70.0             ,68.0             ,68.0             ,67.0             ,70.0             ,69.0             ,68.0             ,68.0             ,69.0             ,67.0             ,67.0              ,70.0
1993    ,65.0             ,75.0             ,75.0             ,76.0             ,70.0             ,71.0             ,71.0             ,73.0             ,71.0             ,73.0             ,74.0              ,74.0
1994    ,76.0             ,80.0             ,80.0             ,80.0             ,74.0             ,75.0             ,75.0             ,75.0             ,71.0             ,75.0             ,75.0              ,75.0
1995    ,83.0             ,86.0             ,86.0             ,89.0             ,83.0             ,83.0             ,81.0             ,81.0             ,86.0             ,86.0             ,86.0              ,86.0
1996    ,89.0             ,89.0             ,89.0             ,90.0             ,89.0             ,90.0             ,90.0             ,90.0             ,91.0             ,91.0             ,91.0              ,91.0
1997    ,92.0             ,96.0             ,96.0             ,96.0             ,92.0             ,92.0             ,92.0             ,92.0             ,91.0             ,93.0             ,96.0              ,97.0
1998    ,98.0             ,90.0             ,90.0             ,90.0             ,95.0             ,97.0             ,95.0             ,95.0             ,93.0             ,93.0             ,92.0              ,90.0
1999    ,89.0             ,82.0             ,83.0             ,84.0             ,89.0             ,87.0             ,55.0             ,55.0             ,55.0             ,55.0             ,55.0              ,84.0
2000    ,84.0             ,91.0             ,93.0             ,93.0             ,83.0             ,83.0             ,84.0             ,87.0             ,84.0             ,85.0             ,85.0              ,91.0
2001    ,87.0             ,85.0             ,85.0             ,85.0             ,87.0             ,88.0             ,85.0             ,86.0             ,86.0             ,86.0             ,86.0              ,86.0
2002    ,87.0             ,85.0             ,83.0             ,83.0             ,86.0             ,86.0             ,87.0             ,83.0             ,83.0             ,83.0             ,84.0              ,83.0
2003    ,84.0             ,83.0             ,83.0             ,82.0             ,83.0             ,83.0             ,82.0             ,81.0             ,81.0             ,80.0             ,81.0              ,82.0
2004    ,80.0             ,75.0             ,74.0             ,75.0             ,80.0             ,79.0             ,78.0             ,78.0             ,77.0             ,76.0             ,76.0              ,76.0
2005    ,72.0             ,66.0             ,65.0             ,2158.0           ,72.0             ,72.0             ,73.0             ,70.0             ,69.0             ,67.0             ,69.0              ,67.0
2006    ,2142.0           ,2201.0           ,                 ,                 ,                 ,2095.0           ,2095.0           ,                 ,2132.0           ,                 ,                  ,
2007    ,2177.0           ,1890.0           ,1810.0           ,1940.0           ,                 ,                 ,                 ,1822.0           ,2208.0           ,2206.0           ,2237.0            ,2234.0
2008    ,1645.0           ,                 ,1198.0           ,2225.0           ,1255.0           ,1257.0           ,                 ,                 ,                 ,1323.0           ,437.0             ,2322.0
2009    ,411.0            ,2289.0           ,2255.0           ,2243.0           ,2297.0           ,2267.0           ,2250.0           ,2205.0           ,2197.0           ,2320.0           ,                  ,2293.0
2010    ,2225.0           ,2354.0           ,2343.0           ,2333.0           ,2224.0           ,2216.0           ,2214.0           ,2215.0           ,2211.0           ,2367.0           ,2367.0            ,2364.0
2011    ,2323.0           ,2402.0           ,2404.0           ,2399.0           ,2261.0           ,2245.0           ,2294.0           ,2313.0           ,2319.0           ,2409.0           ,                  ,2405.0
2012    ,2395.0           ,2447.0           ,2448.0           ,2448.0           ,2391.0           ,2387.0           ,2388.0           ,2381.0           ,2377.0           ,2456.0           ,2455.0            ,2451.0
2013    ,2471.0           ,2540.0           ,2536.0           ,2525.0           ,2467.0           ,2461.0           ,2455.0           ,2451.0           ,2473.0           ,2552.0           ,2546.0            ,2544.0
2014    ,2501.0           ,2031.0           ,1648.0           ,2522.0           ,2483.0           ,2479.0           ,2479.0           ,2451.0           ,2451.0           ,2165.0           ,2535.0            ,2537.0
2015    ,1999.0           ,2535.0           ,2542.0           ,2534.0           ,2099.0           ,                 ,2470.0           ,2014.0           ,2463.0           ,                 ,2323.0            ,2535.0
2016    ,2003.0           ,2577.0           ,2243.0           ,1014.0           ,2546.0           ,1522.0           ,2531.0           ,                 ,2517.0           ,                 ,2585.0            ,2584.0
2017    ,                 ,2441.0           ,2485.0           ,2512.0           ,2393.0           ,2177.0           ,1554.0           ,                 ,                 ,                 ,                  ,2512.0
2018    ,2568.0           ,2509.0           ,2494.0           ,                 ,2535.0           ,                 ,                 ,2519.0           ,                 ,2504.0           ,                  ,
2019    ,2522.0           ,                 ,                 ,2309.0           ,2514.0           ,2509.0           ,2479.0           ,2475.0           ,2474.0           ,                 ,                  ,2443.0
sum     ,28814.0          ,29646.0          ,27835.0          ,30530.0          ,28894.0          ,25045.0          ,26598.0          ,24233.0          ,27199.0          ,21682.0          ,18877.0           ,30658.0
variance,5042.371272366514,5267.661932637586,4949.824464358003,5414.006633336023,5136.446286048591,4533.565304240812,4813.033865775666,4468.132301206371,4920.275615586319,4082.326876936575,3645.1826567594117,5446.8943624508565
