Unit,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"
"
Pecent Female Per Year,,69.7,71.4,71.6,72.3,73.4,74.1,74.2,74.2,73.7,73.6,73.9
"
"
Appellate Areas
ALBA IULIA,,69.8,72.3,72.7,71.9,73.9,74.6,74.3,76.0,75.7,76.6,75.2
BACAU,,70.3,73.6,72.9,75.1,72.8,73.1,72.7,73.2,74.2,73.5,73.8
BRASOV,,75.3,74.7,75.4,77.9,79.0,78.4,79.1,79.9,78.3,77.8,77.5
BUCURESTI,,77.8,78.3,78.4,79.3,80.5,80.0,79.0,78.3,76.4,76.3,76.3
CLUJ,,66.1,69.1,68.6,67.1,70.7,72.0,72.8,73.5,72.1,71.8,72.5
CONSTANTA,,74.7,77.4,79.2,76.0,73.9,74.9,74.6,74.4,73.9,73.0,73.4
CRAIOVA,,65.9,67.5,67.8,68.0,69.7,71.0,70.9,70.4,71.0,71.8,72.7
GALATI,,69.2,68.3,69.6,72.1,72.6,70.1,68.9,69.3,69.7,71.4,73.1
IASI,,76.2,76.2,76.5,78.3,80.3,81.0,82.5,82.5,82.1,81.2,81.5
ORADEA,,65.8,70.0,70.3,72.0,71.3,69.6,69.8,69.6,68.7,67.4,67.6
PITESTI,,71.9,73.0,72.7,73.7,73.2,73.1,72.6,72.1,72.8,73.3,73.1
PLOIESTI,,68.5,70.3,70.3,71.2,71.9,73.3,74.1,74.8,75.3,74.6,74.5
SUCEAVA,,68.1,70.2,68.4,68.9,71.9,71.3,72.2,71.8,71.4,71.2,71.1
TARGU MURES,,68.9,70.7,69.2,67.7,67.7,69.5,69.5,68.7,66.4,64.8,66.1
TIMISOARA,,61.2,61.5,61.8,63.2,64.1,65.1,65.9,66.4,66.4,66.1,68.3
"
"
Hierarchical Levels
1,,63.5,73.9,73.5,74.6,76.2,79.2,84.8,85.3,84.3,84.5,82.7
2,,70.1,73.2,73.0,73.6,75.5,75.7,76.2,74.7,73.8,73.0,73.2
3,,69.0,69.4,70.1,72.0,72.6,74.4,74.2,74.5,75.6,76.3,75.9
4,,70.4,72.0,72.0,71.8,73.0,73.0,72.9,73.3,71.8,71.4,72.4
