person-year ID,person ID,surname,given name(s),year,month,gender,base unit,hierarchical level,appellate unit,tribunal unit
1,1,ACHIM,GINA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
2,2,ANDREESCU,MARIUS,2008,12,m,CURTEA DE APEL PITESTI,2,PITESTI,na
3,3,ANDREI,FLORINA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
4,4,BADEA,STEFAN,2008,12,m,CURTEA DE APEL PITESTI,2,PITESTI,na
5,5,BATRANU,IOANA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
6,6,CHIORNITA,GABRIELA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
7,7,CIORASCU,FLORINITA,2008,12,dk,CURTEA DE APEL PITESTI,2,PITESTI,na
8,8,COTOVANU,PAULA ANDRADA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
9,9,DIACONU,DUMITRU,2008,12,m,CURTEA DE APEL PITESTI,2,PITESTI,na
10,10,DIACONU,GHEORGHE,2008,12,m,CURTEA DE APEL PITESTI,2,PITESTI,na
11,11,DUMITRACHE,JANA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
12,12,DUMITRU,MARIOARA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
13,13,DUTESCU,CONSTANTIN,2008,12,m,CURTEA DE APEL PITESTI,2,PITESTI,na
14,14,DUTESCU,CONSTANTINA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
15,15,GHEORGHE SORESCU,TEODORA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
16,16,GHIMISLIU,PAULINA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
17,17,GIOSANU,INGRID EMINA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
18,18,IONIŢĂ,LAURA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
19,19,MERCAN,DORU,2008,12,m,CURTEA DE APEL PITESTI,2,PITESTI,na
20,20,MIRITA,IOANA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
21,21,NANU,GHEORGHITA,2008,12,dk,CURTEA DE APEL PITESTI,2,PITESTI,na
22,22,NUTA,GEORGETA CORINA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
23,23,PĂŞTIN,NICOLETA SIMONA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
24,24,PINCU IFRIM,CORINA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
25,25,PLOSCA,MARIA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
26,26,POPESCU,MIRELA SORINA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
27,27,RADU,DANIEL,2008,12,m,CURTEA DE APEL PITESTI,2,PITESTI,na
28,28,RAUTA,FLORICA,2008,12,dk,CURTEA DE APEL PITESTI,2,PITESTI,na
29,29,REBECA,ION,2008,12,m,CURTEA DE APEL PITESTI,2,PITESTI,na
30,30,RUSU,ELENA MINODORA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
31,31,SANDULESCU,MARIUS GABRIEL,2008,12,m,CURTEA DE APEL PITESTI,2,PITESTI,na
32,32,SERBANOIU BADESCU,VERONICA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
33,33,SIMIONESCU DIACONU,RALUCA ELENA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
34,34,STAN,MARIANA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
35,35,TABACU,ANDREEA ELENA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
36,36,TANASE,IRINA,2008,12,f,CURTEA DE APEL PITESTI,2,PITESTI,na
