Nume,Prenume,Sex,Cod persoana,an,functie
Albu,Emanuel,M,6,2004,judecător
Anghelescu,Maria,F,7,2004,judecător
Barbălată,Georgeta,F,10,2004,judecător
Bărbulescu,Voica Ioana,F,11,2004,judecător
Belu-Magdo,Mona Lisa,F,13,2004,judecător
Bîrsan,Gabriela Victoria,F,5,2004,judecător
Bordea,Adrian,M,15,2004,judecător
Bordeanu,Ioan,M,236,2004,judecător
Braicău,Emilia,F,237,2004,judecător
Bucur,Gheorghe,M,238,2004,judecător
Buta,Cristina Mădălina,F,19,2004,judecător
Buta,Gheorghe,M,20,2004,judecător
Cârcei,Elena,F,23,2004,judecător
Cernat,Gheorghe,M,239,2004,judecător
Chioseaua,Adriana,F,24,2004,judecător
Ciubotaru,Mihai,M,240,2004,judecător
Ciucă,Gilica,F,28,2004,judecător
Coca Cozma,Maria,F,241,2004,judecător
Cochinescu,Alexandrina,F,242,2004,judecător
Cosma,Rodica,F,31,2004,judecător
Costiniu,Florin,M,3,2004,judecător
Culcea,Vasile,M,243,2004,judecător
Dascălu,Ana Maria,F,33,2004,judecător
Dumitru,Magdalena,F,40,2004,judecător
Duţă,Adrian,M,41,2004,judecător
Eftimescu,Mihai Marian,M,244,2004,judecător
Ezer,Emilia,F,42,2004,judecător
Floarea,Nicoleta,F,245,2004,judecător
Gaiţă ,Maria,F,46,2004,judecător
Gaspar,Gabriela,F,47,2004,judecător
Gherasim,Traian,M,49,2004,judecător
Gherghuţ,Emil,M,246,2004,judecător
Ghermeli,Magdalena,F,50,2004,judecător
Ghiciu,Paşcu,M,51,2004,judecător
Giroveanu,Radu,M,247,2004,judecător
Giurgiu,Liviu,M,52,2004,judecător
Glodean,Florica,F,53,2004,judecător
Griga,Ioan,M,54,2004,judecător
Huiduc,Sanda Constanţa,F,248,2004,judecător
Iacob,Cornel,M,249,2004,judecător
Ionescu,Costică,M,250,2004,judecător
Ionescu,Nicolae,M,251,2004,judecător
Iorgovan,Niculina,F,252,2004,judecător
Jîjîie,Corina,F,65,2004,judecător
Jumanca,Ion,M,253,2004,judecător
Lazăr,Rozalia Ana,F,254,2004,judecător
Lovin,Edita,F,66,2004,judecător
Lungu,Carmen Fulga Garofiţa,F,68,2004,judecător
Luţac,Gheorghiţa,F,69,2004,judecător
Luzescu,Cristina,F,70,2004,judecător
Mănescu,Alexandra,F,256,2004,judecător
Marica,Cornelia Silvia,F,255,2004,judecător
Marta,Elena Daniela,F,73,2004,judecător
Mihai,Maria Despina,F,77,2004,judecător
Motea,Aurelia,F,79,2004,judecător
Mrejeru,Teodor,M,257,2004,judecător
Muţiu,Ileana Maria,F,258,2004,judecător
Neagu,Ruxandra Maria,F,259,2004,judecător
Nucă,Mihai Stănjenel,M,260,2004,judecător
Olaru,Maura,F,83,2004,judecător
Onica,Georgeta,F,261,2004,judecător
Osipencu,Elena,F,262,2004,judecător
Pantea,Paula,F,85,2004,judecător
Paşca Cameniţă,Victor Vincenţiu,M,86,2004,judecător
Pastor,Leonida,F,263,2004,judecător
Perju,Pavel,M,264,2004,judecător
Popa,Eugenia,F,89,2004,judecător
Popa,Rodica Aida,F,90,2004,judecător
Popa,Marin,M,265,2004,judecător
Popescu,Iuliana,F,92,2004,judecător
Popescu,Veronica Carmen,F,93,2004,judecător
Popescu,Lucia,F,266,2004,judecător
Popescu ,Zenovia Mariana,F,94,2004,judecător
Prodan,Marioara,F,98,2004,judecător
Rădoi,Rozalia,F,267,2004,judecător
Rădulescu,Veronica,F,100,2004,judecător
Robescu,Florica,F,268,2004,judecător
Roşu,Maria,F,269,2004,judecător
Rotar,Gheorghe,M,270,2004,judecător
Savin,Ana Alexandrina,F,102,2004,judecător
Similean,Petru,M,271,2004,judecător
Sîrbu,Carmen,F,103,2004,judecător
Stanciu,Livia Doina,F,105,2004,judecător
Stancu,Lidia,F,272,2004,judecător
Stancu,Luana,F,273,2004,judecător
Stecoza,Gabriela,F,106,2004,judecător
Ştefănescu,Mariana Brânduşa,F,108,2004,judecător
Tarcea,Cristina Iulia,F,109,2004,judecător
Teodorescu,Georgeta,F,112,2004,judecător
Teodorescu,Margareta,F,113,2004,judecător
Teodorovici,Niculai,M,114,2004,judecător
Toacă,Dorica,F,115,2004,judecător
Toader,Camelia,F,116,2004,judecător
Vartires,Dana Iarina,F,118,2004,judecător
Vasile,Alixandri,M,119,2004,judecător
Voicescu,Gheorghe,M,274,2004,judecător
Voicu,Marin,M,275,2004,judecător
Vorobciuc,Ecaterina,F,276,2004,judecător
Popa,Nicolae,M,1,2004,preşedinte
Cornoiu,Dănuţ,M,30,2004,preşedinte secţia civilă şi proprietate intelectuală
Lohan,Eugenia,F,4,2004,preşedinte secţia comercială
Furtună ,Constantin,M,234,2004,preşedinte secţia contencios administrativ şi fiscal
Pandrea,Anton,M,84,2004,preşedinte secţia penală
Bărbulescu,Lidia,F,2,2004,vicepreşedinte
Albu,Emanuel,M,6,2005,judecător
Anghelescu,Maria,F,7,2005,judecător
Aron,Mircea,M,9,2005,judecător
Barbălată,Georgeta,F,10,2005,judecător
Bărbulescu,Voica Ioana,F,11,2005,judecător
Bărcănescu ,Dragoş,M,12,2005,judecător
Belu-Magdo,Mona Lisa,F,13,2005,judecător
Bordea,Adrian,M,15,2005,judecător
Bordeanu,Ioan,M,236,2005,judecător
Braicău,Emilia,F,237,2005,judecător
Brânzan,Contantin,M,17,2005,judecător
Bratu,Camelia,F,16,2005,judecător
